# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
a 	阿	c=1 d=3.66668e-21 t=15065
a bo luo 	阿波羅	c=0 d=0.1 t=5603
a bo luo hao xiang xiang zao dian rang 	阿波羅好像想早點讓	c=1 d=1 t=5604
a er te mi si 	阿耳忒彌斯	c=1 d=1 t=5605
a li 	阿里	c=0 d=1.20363e-05 t=15065
a li yun 	阿里雲	c=2 d=0.000244376 t=15065
ai 	唉	c=2 d=0.135335 t=15065
ai 	愛	c=2 d=3.30713e-12 t=15065
ai bu shi shou 	愛不釋手	c=1 d=4.48703e-14 t=15065
ai ge 	挨個	c=1 d=3.82957e-05 t=15065
ai ge pi pei 	挨個匹配	c=1 d=3.83023e-05 t=15065
ai hao zhe 	愛好者	c=1 d=0.0178634 t=15065
an 	按	c=0 d=0.0380983 t=15065
an 	案	c=0 d=1.56155e-09 t=15065
an ding 	安定	c=1 d=0.00153381 t=15065
an ji hua 	按計劃	c=1 d=0.00211225 t=15065
an li 	案例	c=2 d=0.128735 t=15065
an mo 	按摩	c=1 d=0.000103597 t=15065
an pai 	安排	c=20 d=1.02993 t=15065
an pai hao 	安排好	c=1 d=4.69596e-20 t=15065
an pai yi ge 	安排一個	c=1 d=7.98924e-07 t=15065
an pai zai 	安排在	c=1 d=4.70731e-19 t=15065
an quan 	安全	c=2 d=0.000668817 t=15065
an shi 	暗示	c=1 d=1 t=5718
an shi zhi luan 	安史之亂	c=1 d=0.00458484 t=15065
an shuo 	按說	c=1 d=5.82234e-20 t=15065
an xin 	安心	c=0 d=0.00655462 t=15065
an xu 	按需	c=1 d=7.65616e-06 t=15065
an ya 	按壓	c=0 d=4.74896e-06 t=15065
an zhao 	按照	c=4 d=0.140858 t=15065
an zhao cheng xu 	按照程序	c=2 d=0.0116142 t=15065
an zhao tong yang de 	按着同樣的	c=1 d=0.00332928 t=15065
an zhao zi fu 	按照字符	c=1 d=1.87921e-10 t=15065
an zhuang 	安裝	c=2 d=0.000699601 t=15065
ao 	奧	c=0 d=0.0453845 t=15065
ao lin pi ke 	奧林匹克	c=2 d=2.44993e-12 t=15065
ao shu 	奧數	c=3 d=3.0629e-06 t=15065
ao yun cun 	奧運村	c=1 d=2.92541e-11 t=15065
ba 	吧	c=58 d=1.1203 t=15065
ba 	把	c=36 d=2.57209 t=15065
ba 	拔	c=1 d=3.2678e-19 t=15065
ba jian li fa gei wo 	把簡歷發給我	c=1 d=1.14216e-05 t=15065
ba ni 	把你	c=1 d=1.03133e-10 t=15065
ba ni xian zai 	把你現在	c=1 d=0.00118858 t=15065
ba pang bian de gao lou 	把旁邊的高樓	c=1 d=1 t=5577
ba qi 	霸氣	c=1 d=0.00701293 t=15065
ba shi jian 	把時間	c=1 d=1.26948e-13 t=15065
ba ta 	把它	c=1 d=1 t=5484
ba tai 	吧檯	c=1 d=0.00414854 t=15065
ba ti mu 	把題目	c=1 d=2.79621e-09 t=15065
ba wan fan shi jian 	把晚飯時間	c=1 d=7.47476e-18 t=15065
ba wo 	把我	c=2 d=0.0314298 t=15065
ba wo hao 	把握好	c=0 d=5.45592e-21 t=15065
ba ya 	拔牙	c=1 d=3.3842e-19 t=15065
ba zhe ge 	把這個	c=1 d=5.5042e-06 t=15065
ba zheng ge 	把整個	c=1 d=0.00975476 t=15065
ba zhong jian 	把中間	c=1 d=0.0100017 t=15065
ba zi 	靶子	c=0 d=1.73054e-12 t=15065
bai dong 	擺動	c=3 d=0.0155317 t=15065
bai du 	百度	c=3 d=0.730482 t=15065
