# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1819
#@/user_id	brainocean_macos
a 	啊	c=2 d=0.118374 t=1818
a li 	阿里	c=0 d=1.20363e-05 t=1818
a li yun 	阿里雲	c=2 d=0.000244376 t=1818
ai hao zhe 	愛好者	c=1 d=0.0178634 t=1818
an ji hua 	按計劃	c=1 d=0.00211225 t=1818
an pai 	安排	c=4 d=0.0025784 t=1818
an xin 	安心	c=0 d=0.00655462 t=1818
an zhao 	按照	c=0 d=0.00514636 t=1818
an zhao cheng xu 	按照程序	c=2 d=0.0116142 t=1818
an zhuang 	安裝	c=1 d=0.000699601 t=1818
ba 	吧	c=9 d=1.1203 t=1818
ba 	把	c=5 d=0.0982312 t=1818
bai du 	百度	c=0 d=0.00561348 t=1818
bai du wang pan 	百度網盤	c=1 d=0.0564161 t=1818
ban 	搬	c=0 d=0.000289433 t=1818
ban 	班	c=0 d=0.00174224 t=1818
ban ben hao 	版本號	c=1 d=0.00278085 t=1818
ban dao 	搬到	c=0 d=0.000283702 t=1818
ban dao wu lou 	搬到五樓	c=1 d=0.00285124 t=1818
ban fa 	辦法	c=1 d=0.00813635 t=1818
ban wan 	辦完	c=0 d=0.00381969 t=1818
ban xiao shi 	半小時	c=1 d=0.0988619 t=1818
ban xiao shi zhi hou 	半小時之後	c=1 d=0.000769323 t=1818
ban zi 	板子	c=2 d=0.0174698 t=1818
bang 	幫	c=1 d=0.00891518 t=1818
bang mang 	幫忙	c=0 d=0.000119453 t=1818
bang mang ma 	幫忙嗎	c=1 d=0.00120052 t=1818
bang ni 	幫你	c=2 d=0.122494 t=1818
bang ni wen wen 	幫你問問	c=1 d=0.509156 t=1818
bang wo 	幫我	c=3 d=0.0118825 t=1818
bao 	報	c=0 d=0.00108347 t=1818
bao 	寶	c=0 d=0.000408677 t=1818
bao kuo 	包括	c=1 d=0.000241172 t=1818
bao ming 	報名	c=3 d=0.130574 t=1818
bao shang qu ba 	報上去吧	c=1 d=0.010889 t=1818
bei 	唄	c=1 d=0.172907 t=1818
bei 	貝	c=0 d=0.0151072 t=1818
bei sai er 	貝賽爾	c=1 d=0.15259 t=1818
bei ye si qu xian 	貝葉斯曲線	c=1 d=0.151829 t=1818
ben chi 	奔馳	c=2 d=0.00150259 t=1818
ben ren 	本人	c=0 d=0.000194986 t=1818
bi jiao 	比較	c=1 d=0.358796 t=1818
bi jiao da 	比較大	c=1 d=0.0590129 t=1818
bi jing 	畢竟	c=1 d=0.00114769 t=1818
bi ru 	比如	c=0 d=0.00278757 t=1818
bi ru yuan cheng 	比如遠程	c=1 d=0.0280154 t=1818
bian cheng 	編程	c=1 d=0.0175975 t=1818
bian dong 	變動	c=1 d=0.00032718 t=1818
bian ma 	編碼	c=0 d=0.186946 t=1818
bian yu 	便於	c=1 d=0.000547008 t=1818
bian yu jiang lai 	便於將來	c=1 d=0.00112497 t=1818
biao 	表	c=1 d=0.0413782 t=1818
biao shi 	標識	c=0 d=8.04733e-05 t=1818
biao ti 	標題	c=0 d=0.000139481 t=1818
biao xian xing shi 	表現形式	c=1 d=0.00019258 t=1818
biao zhun cheng xu 	標準程序	c=1 d=0.00406639 t=1818
bie 	別	c=0 d=0.00300468 t=1818
bing 	並	c=1 d=0.331211 t=1818
bing qie 	並且	c=1 d=0.000488095 t=1818
bu 	不	c=1 d=0.033432 t=1818
bu 	補	c=0 d=0.0145148 t=1818
bu fang bian 	不方便	c=1 d=0.111359 t=1818
bu fen 	部分	c=1 d=0.000825105 t=1818
bu guo 	不過	c=3 d=0.232485 t=1818
bu hui you da de gai dong le 	不會有大的改動了	c=1 d=0.00118265 t=1818
bu ke qi 	不客氣	c=2 d=0.569139 t=1818
bu liao 	不了	c=1 d=0.0461896 t=1818
bu neng 	不能	c=3 d=0.0536792 t=1818
bu qi zuo yong 	不起作用	c=1 d=0.00332928 t=1818
bu shang 	不上	c=0 d=0.00104099 t=1818
bu shang 	補上	c=0 d=4.88095e-05 t=1818
bu shang le 	補上了	c=1 d=0.000490542 t=1818
bu shi 	不是	c=2 d=0.0169386 t=1818
bu shi cheng xu de wen ti 	不是程序的問題	c=1 d=0.00690852 t=1818
bu shi cong ni men dian li mai de 	不是從你們店裏買的	c=1 d=0.00267181 t=1818
bu shi ting ke le ma 	不是停課了嗎	c=1 d=0.0393602 t=1818
bu shu 	部署	c=1 d=0.000143992 t=1818
bu shu huan jing 	部署環境	c=1 d=0.000128446 t=1818
bu tai duo 	不太多	c=1 d=0.00250366 t=1818
bu tai hao 	不太好	c=1 d=0.120633 t=1818
bu tai qing chu 	不太清楚	c=0 d=2.31716e-05 t=1818
bu xing 	不行	c=1 d=0.0621104 t=1818
bu yao 	不要	c=0 d=0.000289433 t=1818
bu yao ban 	不要搬	c=1 d=0.00290884 t=1818
bu ying gai yi dian fan ying ye mei you 	不應該一點反應也沒有	c=1 d=0.00271219 t=1818
bu yong 	不用	c=1 d=0.810584 t=1818
bu yong dan xin 	不用擔心	c=0 d=0.00710054 t=1818
bu yong le ba 	不用了吧	c=1 d=0.159614 t=1818
bu zhao ji 	不着急	c=1 d=0.0298969 t=1818
bu zhou 	步驟	c=2 d=0.0545944 t=1818
bu zou 	不走	c=0 d=0.0154896 t=1818
cai liao 	材料	c=0 d=0.102555 t=1818
can jia 	參加	c=1 d=0.62816 t=1818
can jia yi xia 	參加一下	c=1 d=0.00023056 t=1818
ce shi 	測試	c=5 d=0.0139229 t=1818
ceng 	層	c=1 d=0.000135551 t=1818
cha che 	叉車	c=0 d=1.59256e-05 t=1818
cha jian 	插件	c=2 d=0.105005 t=1818
chan pin 	產品	c=1 d=0.000173384 t=1818
chang 	長	c=0 d=0.0918512 t=1818
chang di 	場地	c=1 d=0.000439444 t=1818
chang du 	長度	c=1 d=0.000365224 t=1818
chang san jiao 	長三角	c=1 d=0.0403566 t=1818
chang shi 	嘗試	c=0 d=0.00132999 t=1818
chang shi ji yi 	長時記憶	c=1 d=0.923116 t=1818
chang yong 	常用	c=1 d=0.00122477 t=1818
chen dian 	沉澱	c=1 d=0.000288735 t=1818
cheng 	乘	c=1 d=0.594521 t=1818
cheng gong 	成功	c=2 d=0.0974103 t=1818
cheng hu 	稱呼	c=0 d=0.00374406 t=1818
cheng jian 	成建	c=1 d=0.00217658 t=1818
cheng pin 	成品	c=2 d=1.73007 t=1818
cheng xu 	程序	c=1 d=0.00886659 t=1818
cheng yuan 	成員	c=1 d=0.453845 t=1818
chong dian 	充電	c=0 d=0.000408677 t=1818
chong dian bao 	充電寶	c=1 d=0.00410726 t=1818
chong xin 	重新	c=2 d=0.998803 t=1818
chou 	抽	c=1 d=0.000182274 t=1818
chu 	初	c=0 d=2.73284e-05 t=1818
chu bu she xiang 	初步設想	c=0 d=5.84356e-05 t=1818
chu bu she xiang de bu zhou 	初步設想的步驟	c=1 d=0.000587285 t=1818
chu diao 	出掉	c=1 d=0.035437 t=1818
chu gao 	初稿	c=1 d=0.0253494 t=1818
chu lai 	出來	c=1 d=0.0029767 t=1818
chuan gan qi 	傳感器	c=5 d=0.101812 t=1818
chuan kou 	串口	c=1 d=0.00814786 t=1818
chuan qi 	傳奇	c=1 d=0.000284437 t=1818
chuan xing 	串行	c=1 d=0.00759701 t=1818
ci ci 	此次	c=1 d=0.346456 t=1818
ci pin 	詞頻	c=3 d=2.71453 t=1818
cong 	從	c=2 d=0.0797371 t=1818
cu jin 	促進	c=1 d=0.000399619 t=1818
cui 	崔	c=0 d=4.68957e-05 t=1818
cui hong xia 	崔紅霞	c=1 d=0.000471307 t=1818
da de 	大的	c=0 d=0.000117675 t=1818
da dian hua 	打電話	c=1 d=0.00172074 t=1818
da gai 	大概	c=3 d=1.5915 t=1818
da jia 	大家	c=1 d=0.197946 t=1818
da jia tao lun 	大家討論	c=1 d=0.33454 t=1818
da jian 	搭建	c=1 d=0.856415 t=1818
da kai 	打開	c=1 d=0.00101284 t=1818
da le 	打了	c=1 d=0.000829241 t=1818
da ping 	大屏	c=2 d=0.000853294 t=1818
da tiao zhan 	大挑戰	c=4 d=0.210453 t=1818
da xing 	大型	c=2 d=0.0402095 t=1818
dai 	代	c=1 d=0.873716 t=1818
dai ma 	代碼	c=1 d=0.000156102 t=1818
dai pin 	代拼	c=2 d=1.78275 t=1818
dai shu 	代數	c=1 d=0.579842 t=1818
dai ti 	代替	c=1 d=0.194952 t=1818
dan ci 	單詞	c=0 d=0.0941765 t=1818
dan shi 	但是	c=4 d=0.375962 t=1818
dan shi cheng xu 	但是程序	c=1 d=0.00711891 t=1818
dan shi you yi ge 	但是有一個	c=1 d=0.000125275 t=1818
dang cheng 	當成	c=1 d=0.0437178 t=1818
dao 	到	c=4 d=1.48372 t=1818
dao chu 	導出	c=1 d=0.000611253 t=1818
dao gou 	導購	c=1 d=0.0184997 t=1818
dao huo 	到貨	c=1 d=0.0333733 t=1818
dao ru 	導入	c=0 d=0.0110251 t=1818
de 	的	c=104 d=11.2187 t=1818
de hua 	的話	c=2 d=0.245625 t=1818
de shi hou 	的時候	c=1 d=0.00637737 t=1818
de tai du 	的態度	c=0 d=0.000194986 t=1818
de xin 	的心	c=1 d=0.07502 t=1818
dei ei zhe 	得誒着	c=1 d=0.000113353 t=1818
deng 	燈	c=0 d=0.000477195 t=1818
deng 	等	c=1 d=0.0254765 t=1818
deng lu 	登錄	c=3 d=0.150332 t=1818
deng nin 	等您	c=1 d=0.0147723 t=1818
deng xia 	等下	c=1 d=0.233603 t=1818
deng xia you kong le 	等下有空了	c=1 d=0.00204983 t=1818
deng ye bu liang 	燈也不亮	c=1 d=0.00479587 t=1818
di 	第	c=2 d=0.000395227 t=1818
di er 	第二	c=0 d=0.0146607 t=1818
di er feng 	第二封	c=1 d=0.147342 t=1818
di fang 	地方	c=0 d=0.000241755 t=1818
di yi bu 	第一步	c=1 d=0.0523397 t=1818
di yi feng 	第一封	c=1 d=0.144424 t=1818
di zhi 	地址	c=2 d=0.105512 t=1818
dian ba 	點吧	c=0 d=0.0276651 t=1818
dian ban 	點半	c=1 d=0.839868 t=1818
dian hua 	電話	c=5 d=0.980674 t=1818
dian ji 	電機	c=3 d=0.0604445 t=1818
dian li 	店裏	c=0 d=0.000265848 t=1818
dian yuan 	電源	c=0 d=0.000631391 t=1818
dian zhong 	點鐘	c=1 d=0.279431 t=1818
diao yong 	調用	c=1 d=0.109154 t=1818
ding 	丁	c=0 d=0.00550232 t=1818
ding 	定	c=0 d=0.0980199 t=1818
ding lao shi 	丁老師	c=4 d=0.320472 t=1818
ding yi ge ban xiao shi ba 	定一個半小時吧	c=1 d=0.985112 t=1818
dong shi 	董事	c=0 d=4.55097e-05 t=1818
dou 	都	c=0 d=0.00390705 t=1818
dou neng 	都能	c=1 d=0.157237 t=1818
dou shi guo 	都試過	c=1 d=0.00256704 t=1818
dou yao 	都要	c=0 d=0.0237072 t=1818
dou yao zuo na xie ren wu 	都要做哪些任務	c=1 d=0.000145549 t=1818
dou yi jing fu kuan le 	都已經付款了	c=1 d=0.0366992 t=1818
du bang 	杜邦	c=0 d=0.00117371 t=1818
du bang xian 	杜邦線	c=1 d=0.0117959 t=1818
du qu 	讀取	c=1 d=0.00275318 t=1818
duan 	短	c=1 d=0.360595 t=1818
dui 	對	c=4 d=0.328513 t=1818
dui ba 	對吧	c=1 d=0.0426384 t=1818
dui bi 	對比	c=1 d=0.000254808 t=1818
dui chen 	對稱	c=2 d=0.371818 t=1818
dui de 	對的	c=1 d=0.00970611 t=1818
duo 	多	c=1 d=0.0739031 t=1818
duo shao 	多少	c=1 d=0.000236397 t=1818
duo shao shi jian 	多少時間	c=0 d=1.6826e-05 t=1818
duo xie 	多謝	c=0 d=0.00151463 t=1818
duo xie duo xie 	多謝多謝	c=1 d=0.0152222 t=1818
e yu 	鱷魚	c=1 d=0.000884932 t=1818
e yu jia 	鱷魚夾	c=3 d=0.018505 t=1818
en en 	嗯嗯	c=6 d=0.663767 t=1818
er bu shi 	而不是	c=1 d=0.00386807 t=1818
er lou 	二樓	c=1 d=0.798516 t=1818
fa 	發	c=2 d=0.0617672 t=1818
fa cuo 	發錯	c=0 d=2.18221e-05 t=1818
fa ge 	發個	c=0 d=0.0018456 t=1818
fa ge wei xin 	發個微信	c=1 d=0.0149956 t=1818
fa gei 	發給	c=1 d=0.0916297 t=1818
fa gei nin 	發給您	c=1 d=0.0112769 t=1818
fa gei wo 	發給我	c=1 d=0.0721066 t=1818
fa gei wo de huo 	發給我的貨	c=1 d=0.00775048 t=1818
fa gei wo yi xia 	發給我一下	c=1 d=0.715338 t=1818
fa le 	發了	c=1 d=0.161218 t=1818
fa song 	發送	c=1 d=0.142274 t=1818
fa xian 	發現	c=0 d=0.00023935 t=1818
fa yi ge 	發一個	c=1 d=1 t=1818
fan 	反	c=0 d=0.000494193 t=1818
fan qiang 	翻牆	c=1 d=0.918512 t=1818
fan wei 	範圍	c=2 d=0.000721375 t=1818
fan yi 	翻譯	c=1 d=0.00119453 t=1818
fan yi cheng 	翻譯成	c=1 d=0.000203468 t=1818
fan ying 	反應	c=1 d=0.00584186 t=1818
fang an 	方案	c=1 d=0.0808629 t=1818
fang bian 	方便	c=5 d=0.243672 t=1818
fang bian le 	方便了	c=1 d=0.0148464 t=1818
fang bian shi pin 	方便視頻	c=1 d=0.00726273 t=1818
fang bu xia 	放不下	c=1 d=0.0599047 t=1818
fang da jing 	放大鏡	c=1 d=0.000174253 t=1818
fang fa 	方法	c=1 d=0.00501661 t=1818
fang mian 	方面	c=1 d=0.000575656 t=1818
fang shi 	方式	c=1 d=0.00755912 t=1818
fang xin 	放心	c=2 d=0.0586106 t=1818
fang zai 	放在	c=3 d=0.583468 t=1818
fei 	非	c=1 d=0.0186697 t=1818
fei jie chu shi 	非接觸式	c=2 d=0.100123 t=1818
fei jie chu shi kuai di xiao du xiang 	非接觸式快遞消毒箱	c=1 d=0.0163259 t=1818
fen bie 	分別	c=1 d=0.00252883 t=1818
fen gong 	分工	c=0 d=0.000222055 t=1818
fen xiang 	分享	c=3 d=0.475893 t=1818
fen xiang hui 	分享會	c=2 d=0.000698446 t=1818
feng 	封	c=0 d=0.0414212 t=1818
feng hen da 	風很大	c=0 d=0.00380064 t=1818
feng hen da ba 	風很大吧	c=1 d=0.0381969 t=1818
feng ming qi 	蜂鳴器	c=4 d=0.0235287 t=1818
feng xian 	風險	c=1 d=0.177284 t=1818
fou ding 	否定	c=1 d=0.0784731 t=1818
fu dan 	復旦	c=0 d=2.74654e-05 t=1818
fu dan shi yan 	復旦實驗	c=1 d=0.00027603 t=1818
fu jian 	附件	c=2 d=0.224066 t=1818
fu kuan 	付款	c=1 d=0.0373604 t=1818
fu li ye 	傅利葉	c=1 d=0.153355 t=1818
fu te 	伏特	c=1 d=0.00414854 t=1818
fu wu ceng 	服務層	c=1 d=0.000135032 t=1818
fu yu 	賦予	c=0 d=0.0927743 t=1818
fu yu yi yi 	賦予意義	c=1 d=0.932394 t=1818
fu ze 	負責	c=1 d=0.337902 t=1818
gai 	改	c=1 d=0.00128757 t=1818
gai cheng 	改成	c=0 d=0.000111378 t=1818
gai dong 	改動	c=1 d=0.0315473 t=1818
gai lan 	概覽	c=1 d=0.000171659 t=1818
gai le 	改了	c=0 d=0.000218756 t=1818
gan huo 	幹活	c=1 d=0.239309 t=1818
gan tan ci 	感嘆詞	c=1 d=0.00123091 t=1818
gan xie 	感謝	c=0 d=0.0603506 t=1818
gan xie da jia de 	感謝大家的	c=1 d=0.606531 t=1818
gang 	剛	c=2 d=0.00148202 t=1818
gang cai 	剛纔	c=1 d=0.13068 t=1818
gang gang 	剛剛	c=0 d=0.000355287 t=1818
gang gang lu de 	剛剛錄的	c=1 d=0.00357068 t=1818
gao ding 	搞定	c=2 d=0.387665 t=1818
gao ge 	搞個	c=1 d=0.118837 t=1818
gao qiao 	高橋	c=1 d=0.402524 t=1818
ge 	個	c=3 d=0.98955 t=1818
ge 	各	c=1 d=0.000370744 t=1818
ge li 	隔離	c=1 d=0.600496 t=1818
ge zi 	各自	c=2 d=0.952805 t=1818
ge zi tuan dui 	各自團隊	c=1 d=0.449329 t=1818
gei 	給	c=3 d=0.480125 t=1818
gei ni 	給你	c=1 d=0.14334 t=1818
gei nin 	給您	c=2 d=0.15376 t=1818
gei wo 	給我	c=2 d=0.023028 t=1818
geng 	更	c=0 d=7.92752e-05 t=1818
geng gai 	更改	c=1 d=0.0492917 t=1818
geng jia 	更加	c=0 d=0.000123708 t=1818
geng jia jin mi 	更加緊密	c=1 d=0.00124328 t=1818
gong bao 	宮保	c=1 d=0.000185956 t=1818
gong cheng shi 	工程師	c=1 d=0.00344787 t=1818
gong ju 	工具	c=2 d=0.233162 t=1818
gong neng 	功能	c=1 d=0.11475 t=1818
gong si 	公司	c=3 d=1.02944 t=1818
gong you 	公有	c=0 d=1.15067e-05 t=1818
gong you 	共有	c=1 d=0.618783 t=1818
gong you yun 	公有雲	c=1 d=0.000115643 t=1818
gong zuo 	工作	c=1 d=0.078627 t=1818
gong zuo de shi qing 	工作的事情	c=1 d=0.0668703 t=1818
gong zuo ma 	工作嗎	c=1 d=0.0125881 t=1818
gou tong 	溝通	c=0 d=0.000220948 t=1818
gou tong hao 	溝通好	c=1 d=0.00222055 t=1818
gou zhi 	購置	c=1 d=0.000133688 t=1818
gu ji 	估計	c=0 d=1.64928e-05 t=1818
gu ji yi ge 	估計一個	c=1 d=0.000165755 t=1818
gu jian 	固件	c=1 d=0.00276698 t=1818
gu li 	鼓勵	c=2 d=0.545378 t=1818
gu li ni qu 	鼓勵你去	c=1 d=0.373439 t=1818
guan li 	管理	c=1 d=0.000125903 t=1818
guan wang 	官網	c=1 d=0.290835 t=1818
guan yu 	慣於	c=1 d=0.704688 t=1818
guan yu 	關於	c=1 d=0.70822 t=1818
gui 	歸	c=1 d=0.0293049 t=1818
gui fan 	規範	c=1 d=0.0204453 t=1818
guo cheng 	過程	c=1 d=0.0169075 t=1818
guo ji shang 	國際上	c=1 d=0.209088 t=1818
guo qing 	國慶	c=1 d=0.458406 t=1818
guo qu 	過去	c=0 d=0.00150707 t=1818
guo qu na 	過去拿	c=1 d=0.0151463 t=1818
ha 	哈	c=2 d=0.0724684 t=1818
hai 	還	c=0 d=0.0307481 t=1818
